timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1205380046,21644006,32.387425,-117.076276,125.9351,115.054054,-48.574654,-0.0010998534,-0.0068369247,0,-5.0007086,0.04617135,-0.061046883,-0.009504861,-0.022203542,-0.023427267,-0.3981666,1.6672839,-3.465585,5.2545595,3.1008072,13.434407,39.96171,0.061046883,0.26944435,0.32168308,0.14707248,0.1160433,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205476889,21644006,32.387425,-117.076276,125.448875,115.05452,-48.57174,-0.0010998534,-0.0068369247,0,-4.996594,0.02830054,-0.092902064,-0.036425427,-0.022203542,-0.023427267,-0.3981666,3.6230152,-14.844987,-4.1074004,3.1020372,13.434407,39.958797,0.092902064,0.25825498,0.31972,0.14234883,0.11514064,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205580833,21644006,32.387425,-117.076276,124.92593,115.054436,-48.56746,-0.0010998534,-0.0068369247,0,-5.0215764,0.067293845,-0.088114314,-0.025173837,-0.022203542,-0.023427267,-0.3981666,-2.3144543,4.24379,0.40835047,3.1080728,13.434407,39.954517,0.088114314,0.26973307,0.32073155,0.14716776,0.115808755,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205677618,21644006,32.387425,-117.076276,124.43846,115.05604,-48.56399,-0.0010998534,-0.0068369247,0,-5.0093513,0.069879554,-0.10546842,-0.037815057,-0.022203542,-0.023427267,-0.3981666,4.6726193,1.8006983,-7.0865383,3.116992,13.434407,39.95105,0.10546842,0.258492,0.31879872,0.14256221,0.11491863,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205781605,21644006,32.387425,-117.076276,123.91411,115.05749,-48.56217,-0.0010998534,-0.0068369247,0,-5.017429,0.037965152,-0.088045135,-0.017936818,-0.022203542,-0.023427267,-0.3981666,2.4524462,-10.570399,5.8139734,3.1292357,13.434407,39.949226,0.088045135,0.26998803,0.31979802,0.14732817,0.11558583,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205886468,21644006,32.387425,-117.076276,123.38612,115.05941,-48.56107,-0.0010998534,-0.0068369247,0,-5.0151453,0.035646345,-0.103088364,-0.030932045,-0.022203542,-0.023427267,-0.3981666,6.243719,-8.301928,-4.649663,3.1413898,13.434407,39.948128,0.103088364,0.25955895,0.3185684,0.14306945,0.11487588,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205982467,21644006,32.387425,-117.076276,122.9037,115.06137,-48.56069,-0.0010998534,-0.0068369247,0,-5.0284867,0.062841326,-0.08184294,-0.008441447,-0.022203542,-0.023427267,-0.3981666,-4.2833643,-4.1564584,2.1099484,-3.1305296,13.434407,39.94775,0.08184294,0.27021128,0.3188634,0.14740999,0.11536466,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1206086408,21644006,32.387425,-117.076276,122.3824,115.06527,-48.558323,-0.0010998534,-0.0068369247,0,-5.0097957,0.05138477,-0.10504018,-0.028899329,-0.022203542,-0.023427267,-0.3981666,1.1518695,-2.809597,0.34792247,-3.1201212,13.434407,39.94538,0.10504018,0.25937483,0.31763208,0.14277679,0.1146415,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1206187287,21644006,32.387425,-117.076276,121.88258,115.066536,-48.555836,-0.0010998534,-0.0068369247,0,-5.0088415,0.038244825,-0.07277361,0.006249361,-0.022203542,-0.023427267,-0.3981666,-3.4418623,-4.0152006,9.7021885,-3.1121519,13.434407,39.942894,0.07277361,0.27081743,0.3185638,0.14755881,0.11530159,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1206291231,21644006,32.387425,-117.076276,121.36778,115.067894,-48.553436,-0.0010998534,-0.0068369247,0,-4.9916344,0.06789043,-0.09451424,-0.012957885,-0.022203542,-0.023427267,-0.3981666,-2.8188314,5.1485863,-1.0662833,-3.1073778,13.434407,39.940495,0.09451424,0.259938,0.3170861,0.14294682,0.11458423,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1206388011,21644006,32.387425,-117.076276,120.88944,115.06775,-48.552414,-0.0010998534,-0.0068369247,0,-4.9861083,0.028014207,-0.12507278,-0.04105546,-0.022203542,-0.023427267,-0.3981666,-1.5939848,-3.7961183,-3.0849276,-3.1050324,13.434407,39.939472,0.12507278,0.27050617,0.31733394,0.1472971,0.1150603,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1206492029,21644006,32.387425,-117.076276,120.37463,115.065704,-48.552406,-0.0010998534,-0.0068369247,0,-4.9779477,0.02699691,-0.11298589,-0.027138406,-0.022203542,-0.023427267,-0.3981666,-6.1608324,7.2129416,2.6146874,-3.104527,13.434407,39.939465,0.11298589,0.2601721,0.31623277,0.14314859,0.11438864,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
